,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.81,79.63
1,1,1,26.76,80.61
2,2,2,26.69,80.6
3,3,3,26.86,81.03
4,4,4,27.0,81.11
5,5,5,27.83,80.47
6,6,6,27.8,80.42
7,7,7,29.09,78.14
8,8,8,30.09,77.86
9,9,9,31.98,74.79
10,10,10,31.77,73.82
11,11,11,32.57,68.24
12,12,12,32.4,69.18
13,13,13,32.86,69.76
14,14,14,32.9,70.25
15,15,15,33.36,69.16
16,16,16,31.99,68.97
17,17,17,31.98,68.73
18,18,18,30.52,71.91
19,19,19,29.92,74.19
20,20,20,28.74,77.08
21,21,21,27.95,78.58
22,22,22,27.78,78.38
23,23,23,27.76,78.05
