,Unnamed: 0,Hour,temperature,humidity
0,0,0,23.59,79.0
1,1,1,23.2,79.0
2,2,2,22.87,80.0
3,3,3,22.59,80.0
4,4,4,22.41,80.0
5,5,5,22.39,79.0
6,6,6,22.61,78.0
7,7,7,23.17,76.0
8,8,8,24.14,72.0
9,9,9,25.43,67.0
10,10,10,26.8,63.0
11,11,11,27.96,59.0
12,12,12,28.82,57.99999999999999
13,13,13,29.44,56.99999999999999
14,14,14,29.85,56.00000000000001
15,15,15,29.94,56.00000000000001
16,16,16,29.58,57.99999999999999
17,17,17,28.7,62.0
18,18,18,27.43,66.0
19,19,19,26.16,69.0
20,20,20,25.22,73.0
21,21,21,24.58,75.0
22,22,22,24.08,77.0
23,23,23,23.63,78.0
