,Unnamed: 0,Hour,temperature,humidity
0,0,0,25.87,83.53
1,1,1,25.83,83.49
2,2,2,25.7,83.76
3,3,3,25.77,84.27
4,4,4,25.98,82.68
5,5,5,26.68,82.75
6,6,6,26.94,82.34
7,7,7,27.48,82.15
8,8,8,27.99,82.76
9,9,9,29.31,80.41
10,10,10,30.48,79.34
11,11,11,31.54,78.19
12,12,12,31.67,78.7
13,13,13,31.83,78.39
14,14,14,32.43,76.79
15,15,15,32.01,76.75
16,16,16,30.87,77.27
17,17,17,30.13,77.02
18,18,18,29.62,78.89
19,19,19,29.34,78.36
20,20,20,28.26,80.1
21,21,21,27.46,81.3
22,22,22,27.34,81.39
23,23,23,27.49,82.1
