,Unnamed: 0,Hour,temperature,humidity
0,0,0,25.83,82.63
1,1,1,25.77,83.59
2,2,2,25.75,83.6
3,3,3,25.82,82.0
4,4,4,26.01,81.06
5,5,5,26.87,81.35
6,6,6,26.89,78.52
7,7,7,28.01,77.79
8,8,8,28.44,77.51
9,9,9,29.69,75.06
10,10,10,30.66,75.43
11,11,11,31.67,73.16
12,12,12,31.75,72.96
13,13,13,32.95,70.71
14,14,14,33.04,69.46
15,15,15,32.79,68.16
16,16,16,31.31,69.7
17,17,17,31.12,70.65
18,18,18,29.29,72.72
19,19,19,29.28,76.61
20,20,20,28.56,77.81
21,21,21,27.8,77.82
22,22,22,27.57,77.25
23,23,23,27.73,78.82
