,Unnamed: 0,Hour,temperature,humidity
0,0,0,28.73,76.66
1,1,1,27.94,78.65
2,2,2,27.77,78.61
3,3,3,27.77,78.34
4,4,4,27.23,78.93
5,5,5,27.81,78.41
6,6,6,27.86,78.5
7,7,7,29.11,76.94
8,8,8,30.1,76.24
9,9,9,30.04,73.25
10,10,10,30.44,73.35
11,11,11,30.62,73.01
12,12,12,30.2,71.34
13,13,13,29.06,71.39
14,14,14,28.74,72.3
15,15,15,28.68,72.18
16,16,16,28.41,74.6
17,17,17,28.39,74.14
18,18,18,27.76,75.89
19,19,19,27.62,76.52
20,20,20,27.0,77.66
21,21,21,26.83,78.1
22,22,22,26.84,77.35
23,23,23,26.71,77.03
