,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.81,80.62
1,1,1,26.78,81.56
2,2,2,26.66,81.67
3,3,3,26.07,81.26
4,4,4,26.06,81.95
5,5,5,26.87,81.52
6,6,6,26.89,81.48
7,7,7,28.05,81.02
8,8,8,29.22,79.74
9,9,9,30.07,80.25
10,10,10,30.65,79.78
11,11,11,31.68,76.6
12,12,12,32.37,75.86
13,13,13,32.18,74.29
14,14,14,31.91,71.67
15,15,15,32.35,68.02
16,16,16,31.12,67.49
17,17,17,30.81,68.34
18,18,18,30.7,69.02
19,19,19,30.25,73.17
20,20,20,29.03,76.5
21,21,21,27.65,76.54
22,22,22,27.2,76.21
23,23,23,26.49,80.67
