,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.77,85.81
1,1,1,26.81,84.74
2,2,2,26.65,85.18
3,3,3,26.8,84.81
4,4,4,26.46,82.91
5,5,5,26.89,82.39
6,6,6,26.84,79.25
7,7,7,27.95,76.8
8,8,8,29.08,73.22
9,9,9,30.07,70.88
10,10,10,29.99,70.65
11,11,11,30.46,69.47
12,12,12,30.51,73.13
13,13,13,29.96,76.31
14,14,14,29.17,78.88
15,15,15,28.66,82.75
16,16,16,28.9,81.8
17,17,17,28.97,81.02
18,18,18,28.53,82.71
19,19,19,28.57,82.71
20,20,20,28.65,83.9
21,21,21,27.81,86.05
22,22,22,27.47,85.76
23,23,23,27.67,84.45
