,Unnamed: 0,Hour,temperature,humidity
0,0,0,27.76,73.71
1,1,1,27.78,73.67
2,2,2,27.7,75.15
3,3,3,27.87,75.16
4,4,4,28.01,76.25
5,5,5,28.02,76.59
6,6,6,28.53,75.8
7,7,7,30.21,73.2
8,8,8,31.15,71.66
9,9,9,32.06,70.01
10,10,10,31.62,68.74
11,11,11,31.76,68.22
12,12,12,32.17,68.98
13,13,13,32.02,67.88
14,14,14,32.89,67.57
15,15,15,32.91,67.15
16,16,16,31.16,69.36
17,17,17,30.7,70.33
18,18,18,30.03,73.83
19,19,19,29.73,75.51
20,20,20,28.03,75.41
21,21,21,27.55,76.88
22,22,22,27.71,77.12
23,23,23,26.8,79.36
