,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.76,84.76
1,1,1,26.79,85.64
2,2,2,26.0,85.86
3,3,3,25.86,85.78
4,4,4,25.96,85.26
5,5,5,26.91,85.2
6,6,6,26.78,81.65
7,7,7,28.09,79.75
8,8,8,29.11,77.91
9,9,9,30.11,76.15
10,10,10,29.78,74.03
11,11,11,30.53,70.08
12,12,12,31.2,69.94
13,13,13,31.41,70.93
14,14,14,31.02,71.41
15,15,15,30.81,70.17
16,16,16,30.14,69.76
17,17,17,28.76,71.81
18,18,18,28.75,72.42
19,19,19,28.76,75.26
20,20,20,27.82,76.45
21,21,21,27.72,78.02
22,22,22,27.05,80.55
23,23,23,26.72,83.29
