,Unnamed: 0,Hour,temperature,humidity
0,0,0,28.73,74.76
1,1,1,28.76,76.54
2,2,2,28.64,78.98
3,3,3,28.82,79.75
4,4,4,29.01,78.31
5,5,5,29.97,77.1
6,6,6,29.71,76.98
7,7,7,30.16,74.9
8,8,8,30.83,71.56
9,9,9,32.82,68.01
10,10,10,33.87,66.64
11,11,11,35.87,63.59
12,12,12,36.68,62.24
13,13,13,37.17,59.97
14,14,14,35.89,58.2
15,15,15,36.07,58.37
16,16,16,34.71,59.43
17,17,17,32.17,61.13
18,18,18,31.0,60.96
19,19,19,31.3,64.19
20,20,20,30.63,66.82
21,21,21,29.89,68.64
22,22,22,28.96,71.83
23,23,23,28.76,76.19
