,Unnamed: 0,Hour,temperature,humidity
0,0,0,25.87,84.61
1,1,1,25.14,84.6
2,2,2,24.82,85.32
3,3,3,24.79,85.17
4,4,4,24.51,85.01
5,5,5,24.83,83.72
6,6,6,24.85,82.13
7,7,7,25.9,81.52
8,8,8,27.1,78.7
9,9,9,28.63,77.06
10,10,10,29.77,73.82
11,11,11,30.61,73.22
12,12,12,30.76,73.23
13,13,13,30.2,73.67
14,14,14,29.62,73.84
15,15,15,29.47,72.24
16,16,16,29.09,70.09
17,17,17,28.84,69.36
18,18,18,28.73,69.54
19,19,19,28.25,70.13
20,20,20,27.71,72.61
21,21,21,26.98,76.25
22,22,22,26.63,77.3
23,23,23,26.08,78.81
