,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.78,85.79
1,1,1,26.77,86.64
2,2,2,26.66,86.28
3,3,3,26.19,84.99
4,4,4,25.99,85.53
5,5,5,26.8,85.75
6,6,6,26.74,83.74
7,7,7,27.67,80.82
8,8,8,28.68,77.78
9,9,9,29.91,75.17
10,10,10,30.74,73.39
11,11,11,32.18,70.38
12,12,12,32.87,69.22
13,13,13,32.36,69.53
14,14,14,32.26,68.43
15,15,15,31.8,68.67
16,16,16,30.68,68.85
17,17,17,29.98,71.27
18,18,18,30.18,72.63
19,19,19,29.91,72.14
20,20,20,28.23,75.49
21,21,21,27.67,78.95
22,22,22,27.85,81.9
23,23,23,27.06,83.08
