,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.8,77.69
1,1,1,25.85,78.59
2,2,2,25.74,78.67
3,3,3,25.06,78.96
4,4,4,25.03,78.33
5,5,5,25.82,78.24
6,6,6,25.74,78.4
7,7,7,26.14,77.14
8,8,8,26.92,74.62
9,9,9,27.86,74.69
10,10,10,29.29,73.04
11,11,11,30.97,72.16
12,12,12,30.21,72.09
13,13,13,30.0,71.52
14,14,14,29.84,70.73
15,15,15,29.48,70.78
16,16,16,29.07,71.48
17,17,17,29.55,70.2
18,18,18,28.84,69.28
19,19,19,27.98,72.15
20,20,20,27.66,73.68
21,21,21,27.57,73.7
22,22,22,26.76,75.91
23,23,23,26.43,76.24
