,Unnamed: 0,Hour,temperature,humidity
0,0,0,25.83,80.71
1,1,1,25.79,80.71
2,2,2,25.64,80.8
3,3,3,25.2,80.2
4,4,4,24.94,79.37
5,5,5,25.79,78.63
6,6,6,25.79,78.41
7,7,7,26.91,77.99
8,8,8,28.08,76.62
9,9,9,29.1,75.84
10,10,10,29.63,76.18
11,11,11,30.57,77.92
12,12,12,30.58,78.01
13,13,13,30.19,77.98
14,14,14,29.77,78.3
15,15,15,29.69,80.29
16,16,16,28.81,79.67
17,17,17,28.51,77.82
18,18,18,28.53,77.74
19,19,19,27.83,77.97
20,20,20,26.72,78.44
21,21,21,26.47,80.29
22,22,22,26.49,80.65
23,23,23,25.99,83.67
