,Unnamed: 0,Hour,temperature,humidity
0,0,0,25.81,80.69
1,1,1,25.8,80.59
2,2,2,25.73,80.74
3,3,3,25.87,80.36
4,4,4,25.25,79.22
5,5,5,25.94,78.54
6,6,6,26.51,76.71
7,7,7,27.02,75.09
8,8,8,27.9,72.9
9,9,9,29.98,70.51
10,10,10,31.78,69.03
11,11,11,34.12,66.78
12,12,12,34.35,67.28
13,13,13,34.08,67.63
14,14,14,34.43,67.49
15,15,15,34.17,67.67
16,16,16,32.32,70.87
17,17,17,31.11,69.85
18,18,18,30.66,72.5
19,19,19,29.42,73.78
20,20,20,27.88,76.57
21,21,21,27.67,76.69
22,22,22,26.87,78.15
23,23,23,26.56,77.87
