,Unnamed: 0,Hour,temperature,humidity
0,0,0,28.68,77.82
1,1,1,27.75,80.82
2,2,2,26.94,81.96
3,3,3,26.86,83.94
4,4,4,27.03,83.92
5,5,5,26.97,82.66
6,6,6,26.45,84.68
7,7,7,28.13,81.8
8,8,8,28.24,80.09
9,9,9,28.02,77.28
10,10,10,28.47,74.02
11,11,11,29.67,72.07
12,12,12,30.58,69.48
13,13,13,31.37,69.2
14,14,14,30.18,70.36
15,15,15,30.53,69.74
16,16,16,29.82,69.87
17,17,17,29.39,69.97
18,18,18,29.01,71.96
19,19,19,28.57,74.36
20,20,20,27.68,77.11
21,21,21,27.48,78.1
22,22,22,27.59,79.36
23,23,23,27.71,82.58
