,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.81,85.56
1,1,1,26.8,86.54
2,2,2,26.69,86.55
3,3,3,26.72,85.23
4,4,4,26.91,84.18
5,5,5,27.66,84.69
6,6,6,27.99,82.49
7,7,7,28.36,81.79
8,8,8,28.85,81.72
9,9,9,29.78,80.18
10,10,10,30.56,78.98
11,11,11,31.6,77.88
12,12,12,31.68,79.64
13,13,13,31.89,78.97
14,14,14,32.63,79.37
15,15,15,31.29,78.7
16,16,16,30.16,78.4
17,17,17,30.08,80.55
18,18,18,29.36,81.86
19,19,19,28.51,83.02
20,20,20,28.16,83.23
21,21,21,27.8,83.97
22,22,22,26.84,85.84
23,23,23,26.73,85.34
