,Unnamed: 0,Hour,temperature,humidity
0,0,0,27.74,89.67
1,1,1,26.85,92.56
2,2,2,26.76,92.75
3,3,3,26.89,90.95
4,4,4,27.01,89.84
5,5,5,27.91,89.13
6,6,6,26.72,89.03
7,7,7,27.87,89.24
8,8,8,28.72,84.95
9,9,9,29.8,82.19
10,10,10,30.35,80.21
11,11,11,32.52,78.01
12,12,12,33.32,76.23
13,13,13,34.1,74.52
14,14,14,32.86,72.2
15,15,15,32.75,72.29
16,16,16,31.81,75.88
17,17,17,30.58,81.29
18,18,18,29.78,81.44
19,19,19,29.49,81.16
20,20,20,28.15,81.13
21,21,21,27.62,81.89
22,22,22,26.87,81.88
23,23,23,26.09,81.83
