,Unnamed: 0,Hour,temperature,humidity
0,0,0,24.85,82.57
1,1,1,24.84,81.7
2,2,2,23.98,81.05
3,3,3,23.94,80.02
4,4,4,24.01,80.79
5,5,5,24.78,80.7
6,6,6,24.89,80.4
7,7,7,25.23,79.15
8,8,8,24.9,77.47
9,9,9,24.69,78.56
10,10,10,24.48,79.57
11,11,11,25.51,77.49
12,12,12,25.49,77.54
13,13,13,26.19,77.66
14,14,14,26.97,75.4
15,15,15,26.99,75.68
16,16,16,27.45,75.13
17,17,17,27.32,75.5
18,18,18,27.31,76.0
19,19,19,26.65,78.01
20,20,20,25.88,80.97
21,21,21,25.65,81.21
22,22,22,25.72,80.94
23,23,23,25.76,80.55
