,Unnamed: 0,Hour,temperature,humidity
0,0,0,27.78,80.63
1,1,1,27.73,81.55
2,2,2,27.61,81.62
3,3,3,27.11,81.99
4,4,4,26.96,80.49
5,5,5,27.77,80.24
6,6,6,27.84,79.82
7,7,7,28.37,79.78
8,8,8,28.99,77.73
9,9,9,30.59,73.33
10,10,10,31.72,70.38
11,11,11,33.55,68.52
12,12,12,34.58,68.89
13,13,13,34.4,69.64
14,14,14,34.64,67.29
15,15,15,33.93,68.38
16,16,16,32.36,67.99
17,17,17,31.29,69.48
18,18,18,30.3,72.0
19,19,19,29.1,77.0
20,20,20,28.5,78.26
21,21,21,28.59,77.93
22,22,22,28.64,78.34
23,23,23,28.58,78.07
