,Unnamed: 0,Hour,temperature,humidity
0,0,0,27.72,82.69
1,1,1,27.73,85.3
2,2,2,27.56,85.68
3,3,3,27.02,83.8
4,4,4,26.93,84.95
5,5,5,27.82,83.58
6,6,6,27.72,82.47
7,7,7,29.13,80.01
8,8,8,30.0,77.48
9,9,9,31.04,75.57
10,10,10,30.45,76.12
11,11,11,31.54,73.47
12,12,12,31.18,71.15
13,13,13,31.23,70.39
14,14,14,30.74,70.85
15,15,15,31.5,70.8
16,16,16,30.29,71.11
17,17,17,29.16,73.3
18,18,18,28.98,74.76
19,19,19,28.74,76.77
20,20,20,28.86,78.78
21,21,21,27.88,79.76
22,22,22,27.81,79.66
23,23,23,27.88,82.11
