,Unnamed: 0,Hour,temperature,humidity
0,0,0,27.72,76.73
1,1,1,27.74,76.67
2,2,2,27.57,79.17
3,3,3,27.81,78.97
4,4,4,27.97,77.47
5,5,5,28.82,78.29
6,6,6,28.53,77.73
7,7,7,30.09,75.27
8,8,8,30.12,71.65
9,9,9,31.81,68.18
10,10,10,32.48,67.51
11,11,11,32.98,66.71
12,12,12,34.24,65.26
13,13,13,35.19,64.58
14,14,14,34.98,62.26
15,15,15,35.55,60.76
16,16,16,34.88,59.53
17,17,17,34.02,61.62
18,18,18,32.68,63.19
19,19,19,31.18,66.14
20,20,20,30.59,68.39
21,21,21,29.99,71.86
22,22,22,29.62,73.97
23,23,23,29.52,74.69
