,Unnamed: 0,Hour,temperature,humidity
0,0,0,25.83,86.55
1,1,1,25.83,86.53
2,2,2,25.73,86.6
3,3,3,25.0,85.16
4,4,4,25.01,84.21
5,5,5,25.63,83.67
6,6,6,26.54,82.99
7,7,7,27.35,83.14
8,8,8,28.05,80.66
9,9,9,28.8,77.85
10,10,10,30.19,78.11
11,11,11,30.83,77.36
12,12,12,30.38,78.1
13,13,13,30.97,76.06
14,14,14,30.77,76.07
15,15,15,30.86,76.14
16,16,16,30.14,77.58
17,17,17,30.3,77.83
18,18,18,29.51,77.28
19,19,19,28.69,80.49
20,20,20,27.88,82.15
21,21,21,26.91,82.15
22,22,22,26.63,81.88
23,23,23,26.61,82.37
