,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.78,86.84
1,1,1,25.89,85.8
2,2,2,25.79,86.95
3,3,3,25.01,85.72
4,4,4,25.13,84.57
5,5,5,26.0,84.81
6,6,6,25.79,83.08
7,7,7,26.47,79.25
8,8,8,26.77,76.14
9,9,9,27.88,73.3
10,10,10,28.59,71.97
11,11,11,29.72,70.57
12,12,12,30.42,70.44
13,13,13,31.19,69.3
14,14,14,31.06,70.84
15,15,15,30.96,72.41
16,16,16,29.99,73.83
17,17,17,29.52,73.3
18,18,18,28.82,75.04
19,19,19,29.26,76.78
20,20,20,28.79,79.51
21,21,21,27.77,80.3
22,22,22,27.61,80.84
23,23,23,26.95,82.32
