,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.82,81.66
1,1,1,26.74,81.75
2,2,2,26.62,81.69
3,3,3,26.78,81.29
4,4,4,26.92,80.29
5,5,5,27.21,81.45
6,6,6,27.57,80.08
7,7,7,28.39,79.15
8,8,8,29.07,75.26
9,9,9,30.74,72.99
10,10,10,31.61,70.71
11,11,11,32.65,68.0
12,12,12,31.88,67.2
13,13,13,30.94,67.8
14,14,14,30.71,68.64
15,15,15,30.54,69.18
16,16,16,30.07,69.56
17,17,17,29.48,69.92
18,18,18,29.97,70.14
19,19,19,29.12,74.4
20,20,20,28.02,76.4
21,21,21,27.67,77.17
22,22,22,27.62,76.95
23,23,23,27.75,79.27
