,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.83,75.78
1,1,1,26.69,76.54
2,2,2,26.08,78.17
3,3,3,25.78,78.4
4,4,4,25.92,77.49
5,5,5,26.84,77.45
6,6,6,26.89,76.69
7,7,7,28.05,74.86
8,8,8,28.38,72.79
9,9,9,29.49,70.35
10,10,10,30.52,68.88
11,11,11,31.5,67.55
12,12,12,30.98,69.16
13,13,13,30.11,70.43
14,14,14,30.45,70.33
15,15,15,30.75,70.05
16,16,16,30.09,71.0
17,17,17,29.61,71.51
18,18,18,28.89,72.88
19,19,19,28.91,74.4
20,20,20,28.13,76.1
21,21,21,27.62,76.83
22,22,22,27.13,76.8
23,23,23,26.76,77.99
