,Unnamed: 0,Hour,temperature,humidity
0,0,0,25.85,80.62
1,1,1,25.81,80.51
2,2,2,24.95,80.7
3,3,3,24.82,80.23
4,4,4,24.98,80.17
5,5,5,25.85,79.74
6,6,6,25.84,79.24
7,7,7,26.16,78.8
8,8,8,26.93,78.45
9,9,9,28.85,77.99
10,10,10,29.83,74.98
11,11,11,30.82,71.6
12,12,12,31.51,70.4
13,13,13,31.26,67.78
14,14,14,30.79,67.78
15,15,15,29.18,73.13
16,16,16,27.01,75.3
17,17,17,25.36,77.97
18,18,18,24.78,78.36
19,19,19,25.19,79.13
20,20,20,25.54,81.04
21,21,21,25.16,83.06
22,22,22,24.93,83.22
23,23,23,24.73,82.76
