,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.8,78.61
1,1,1,26.02,79.58
2,2,2,25.74,79.56
3,3,3,25.89,80.08
4,4,4,26.04,80.41
5,5,5,26.82,78.84
6,6,6,25.96,80.55
7,7,7,26.78,79.79
8,8,8,26.86,77.88
9,9,9,27.61,77.82
10,10,10,27.55,74.87
11,11,11,26.93,73.52
12,12,12,26.34,73.89
13,13,13,26.03,74.45
14,14,14,25.75,76.38
15,15,15,26.36,74.98
16,16,16,26.18,74.43
17,17,17,26.27,74.74
18,18,18,26.57,75.05
19,19,19,25.92,78.96
20,20,20,25.62,80.73
21,21,21,25.74,80.12
22,22,22,25.66,81.16
23,23,23,25.56,81.42
