,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.78,81.69
1,1,1,26.76,80.59
2,2,2,26.76,82.42
3,3,3,26.86,82.97
4,4,4,27.04,82.25
5,5,5,27.95,80.91
6,6,6,27.71,81.26
7,7,7,29.15,78.04
8,8,8,30.11,76.61
9,9,9,31.04,72.23
10,10,10,31.52,72.36
11,11,11,31.79,71.3
12,12,12,31.44,70.52
13,13,13,32.67,69.68
14,14,14,32.64,69.96
15,15,15,32.5,71.34
16,16,16,31.94,71.15
17,17,17,31.51,71.47
18,18,18,30.55,74.23
19,19,19,29.87,75.71
20,20,20,28.45,76.82
21,21,21,28.47,77.66
22,22,22,28.72,78.45
23,23,23,27.92,80.11
