,Unnamed: 0,Hour,temperature,humidity
0,0,0,27.72,84.73
1,1,1,27.75,84.65
2,2,2,27.62,84.12
3,3,3,27.87,83.71
4,4,4,27.96,83.15
5,5,5,27.88,83.11
6,6,6,27.48,83.95
7,7,7,29.02,81.94
8,8,8,29.1,79.96
9,9,9,31.01,77.6
10,10,10,30.67,75.33
11,11,11,31.64,72.72
12,12,12,30.31,69.29
13,13,13,29.84,70.89
14,14,14,30.51,70.17
15,15,15,30.52,70.09
16,16,16,30.08,70.66
17,17,17,29.69,68.69
18,18,18,28.92,70.5
19,19,19,29.05,69.46
20,20,20,27.64,74.18
21,21,21,27.46,77.02
22,22,22,26.81,80.29
23,23,23,26.69,81.65
