,Unnamed: 0,Hour,temperature,humidity
0,0,0,25.86,80.61
1,1,1,25.8,80.68
2,2,2,25.74,80.67
3,3,3,25.8,81.04
4,4,4,25.97,81.38
5,5,5,26.07,79.93
6,6,6,25.82,81.5
7,7,7,26.31,80.25
8,8,8,26.28,79.33
9,9,9,26.8,78.73
10,10,10,26.69,77.79
11,11,11,27.49,74.01
12,12,12,28.33,72.65
13,13,13,28.51,73.25
14,14,14,29.0,70.66
15,15,15,29.01,69.9
16,16,16,28.72,68.92
17,17,17,28.39,69.08
18,18,18,28.11,69.78
19,19,19,27.48,71.74
20,20,20,27.31,74.12
21,21,21,26.87,76.83
22,22,22,26.65,78.81
23,23,23,26.54,78.45
