,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.8,79.7
1,1,1,25.88,80.54
2,2,2,25.87,80.58
3,3,3,25.84,80.88
4,4,4,26.07,79.48
5,5,5,26.87,79.22
6,6,6,26.91,78.45
7,7,7,27.38,77.42
8,8,8,28.7,75.0
9,9,9,29.95,72.98
10,10,10,31.37,72.42
11,11,11,33.82,69.08
12,12,12,34.7,68.59
13,13,13,35.38,68.51
14,14,14,35.7,68.05
15,15,15,34.66,69.93
16,16,16,33.64,70.96
17,17,17,32.21,72.91
18,18,18,30.92,76.13
19,19,19,29.63,77.66
20,20,20,28.28,77.8
21,21,21,27.66,80.65
22,22,22,27.69,81.43
23,23,23,26.97,80.75
