,Unnamed: 0,Hour,temperature,humidity
0,0,0,27.74,79.64
1,1,1,27.74,79.67
2,2,2,27.65,80.45
3,3,3,27.73,80.91
4,4,4,27.84,80.36
5,5,5,28.82,79.81
6,6,6,28.57,78.48
7,7,7,30.16,77.92
8,8,8,31.13,75.61
9,9,9,32.0,73.8
10,10,10,32.42,73.49
11,11,11,33.59,73.37
12,12,12,34.26,71.27
13,13,13,35.12,69.37
14,14,14,34.8,69.96
15,15,15,35.32,67.68
16,16,16,34.91,67.92
17,17,17,33.57,69.31
18,18,18,32.5,71.9
19,19,19,30.8,72.12
20,20,20,29.21,73.0
21,21,21,29.46,72.85
22,22,22,28.81,72.7
23,23,23,28.74,76.25
