,Unnamed: 0,Hour,temperature,humidity
0,0,0,25.81,79.61
1,1,1,25.79,79.55
2,2,2,25.67,80.43
3,3,3,25.78,82.9
4,4,4,25.92,82.04
5,5,5,26.03,80.66
6,6,6,26.57,80.33
7,7,7,27.12,79.64
8,8,8,28.64,77.55
9,9,9,29.93,76.48
10,10,10,31.43,73.66
11,11,11,33.68,71.77
12,12,12,34.41,71.11
13,13,13,34.26,71.64
14,14,14,34.87,71.01
15,15,15,34.31,70.56
16,16,16,32.7,72.41
17,17,17,31.94,73.33
18,18,18,30.27,75.84
19,19,19,29.01,76.14
20,20,20,27.66,78.43
21,21,21,27.61,79.01
22,22,22,26.84,79.93
23,23,23,26.73,79.79
