,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.81,80.68
1,1,1,26.73,80.58
2,2,2,26.08,80.69
3,3,3,26.37,81.03
4,4,4,26.88,80.22
5,5,5,27.92,79.48
6,6,6,28.13,78.38
7,7,7,28.53,78.16
8,8,8,29.69,78.01
9,9,9,30.96,77.49
10,10,10,31.1,75.57
11,11,11,31.01,73.06
12,12,12,31.0,71.75
13,13,13,31.21,69.77
14,14,14,30.94,67.96
15,15,15,31.3,67.75
16,16,16,31.11,68.41
17,17,17,30.92,69.17
18,18,18,30.11,72.81
19,19,19,29.36,74.15
20,20,20,27.95,75.0
21,21,21,27.61,78.29
22,22,22,27.69,78.99
23,23,23,27.06,80.92
