,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.8,80.62
1,1,1,26.76,81.53
2,2,2,26.7,82.46
3,3,3,26.76,81.23
4,4,4,26.34,80.19
5,5,5,26.76,79.55
6,6,6,26.77,80.32
7,7,7,28.04,78.02
8,8,8,28.31,77.61
9,9,9,29.63,74.02
10,10,10,31.5,70.58
11,11,11,32.75,70.28
12,12,12,32.72,69.06
13,13,13,33.01,67.58
14,14,14,33.67,67.13
15,15,15,33.66,67.46
16,16,16,32.11,69.06
17,17,17,30.89,69.58
18,18,18,30.08,71.67
19,19,19,29.16,75.47
20,20,20,28.63,77.81
21,21,21,27.78,77.78
22,22,22,27.58,80.09
23,23,23,27.58,80.32
