,Unnamed: 0,Hour,temperature,humidity
0,0,0,28.7,77.67
1,1,1,28.71,79.69
2,2,2,28.5,79.82
3,3,3,28.62,78.54
4,4,4,28.79,79.72
5,5,5,29.77,79.61
6,6,6,28.91,78.83
7,7,7,29.47,75.48
8,8,8,30.37,72.7
9,9,9,31.41,71.78
10,10,10,32.53,70.3
11,11,11,34.36,66.71
12,12,12,34.42,66.92
13,13,13,32.9,68.0
14,14,14,32.31,68.52
15,15,15,31.62,69.91
16,16,16,29.93,72.62
17,17,17,28.73,75.45
18,18,18,28.39,76.69
19,19,19,27.92,78.25
20,20,20,28.19,76.37
21,21,21,28.72,77.89
22,22,22,28.06,80.07
23,23,23,27.67,81.2
