,Unnamed: 0,Hour,temperature,humidity
0,0,0,29.72,74.68
1,1,1,29.62,75.61
2,2,2,29.56,76.37
3,3,3,28.97,76.09
4,4,4,28.92,75.35
5,5,5,29.92,76.19
6,6,6,29.71,76.54
7,7,7,30.19,74.45
8,8,8,30.97,73.75
9,9,9,31.95,72.84
10,10,10,32.58,71.56
11,11,11,33.67,68.29
12,12,12,34.34,68.72
13,13,13,34.89,66.21
14,14,14,35.48,66.89
15,15,15,34.92,66.82
16,16,16,33.63,67.99
17,17,17,32.23,66.57
18,18,18,31.44,70.11
19,19,19,30.58,70.8
20,20,20,29.84,71.53
21,21,21,29.01,71.71
22,22,22,28.68,71.62
23,23,23,28.66,73.48
