,Unnamed: 0,Hour,temperature,humidity
0,0,0,24.87,81.51
1,1,1,24.83,81.59
2,2,2,24.72,81.51
3,3,3,24.79,81.05
4,4,4,24.93,81.32
5,5,5,25.04,80.83
6,6,6,25.56,80.52
7,7,7,26.31,78.07
8,8,8,26.19,78.57
9,9,9,26.73,78.06
10,10,10,27.34,79.5
11,11,11,28.49,79.2
12,12,12,29.34,77.67
13,13,13,29.34,78.01
14,14,14,29.83,75.47
15,15,15,30.54,75.6
16,16,16,29.39,76.0
17,17,17,29.37,76.43
18,18,18,28.57,76.64
19,19,19,27.01,80.83
20,20,20,26.25,82.23
21,21,21,26.39,83.28
22,22,22,26.02,86.1
23,23,23,25.82,86.15
