,Unnamed: 0,Hour,temperature,humidity
0,0,0,25.84,79.73
1,1,1,25.75,79.6
2,2,2,25.69,79.71
3,3,3,25.85,80.04
4,4,4,25.17,78.48
5,5,5,25.8,78.37
6,6,6,25.89,76.55
7,7,7,27.19,73.43
8,8,8,28.25,70.7
9,9,9,29.79,69.06
10,10,10,31.38,67.33
11,11,11,32.64,66.59
12,12,12,34.15,66.49
13,13,13,34.67,65.78
14,14,14,34.89,66.09
15,15,15,34.65,67.28
16,16,16,33.95,68.26
17,17,17,32.58,70.56
18,18,18,30.48,71.21
19,19,19,28.76,71.99
20,20,20,27.48,73.57
21,21,21,27.42,73.78
22,22,22,27.14,75.79
23,23,23,26.83,76.87
