,Unnamed: 0,Hour,temperature,humidity
0,0,0,28.72,75.7
1,1,1,28.68,76.7
2,2,2,28.57,76.86
3,3,3,28.74,77.59
4,4,4,28.96,78.42
5,5,5,29.29,78.64
6,6,6,28.83,78.75
7,7,7,29.96,77.22
8,8,8,31.13,74.42
9,9,9,32.14,70.68
10,10,10,33.51,66.8
11,11,11,34.75,63.78
12,12,12,36.02,62.79
13,13,13,36.97,59.92
14,14,14,36.4,60.61
15,15,15,36.16,59.26
16,16,16,34.65,58.47
17,17,17,32.63,60.63
18,18,18,31.83,64.53
19,19,19,31.24,68.01
20,20,20,30.54,69.59
21,21,21,30.29,70.04
22,22,22,29.8,72.4
23,23,23,29.51,73.6
