,Unnamed: 0,Hour,temperature,humidity
0,0,0,28.75,75.72
1,1,1,28.72,77.53
2,2,2,28.59,78.37
3,3,3,28.7,78.04
4,4,4,28.22,77.45
5,5,5,28.91,76.63
6,6,6,28.82,77.26
7,7,7,30.02,75.23
8,8,8,31.21,72.97
9,9,9,32.25,71.93
10,10,10,32.67,68.98
11,11,11,33.57,68.38
12,12,12,34.92,66.5
13,13,13,36.04,66.5
14,14,14,36.81,66.87
15,15,15,35.79,64.94
16,16,16,34.59,64.98
17,17,17,32.74,65.71
18,18,18,31.64,67.23
19,19,19,30.84,70.08
20,20,20,30.45,70.75
21,21,21,30.34,72.07
22,22,22,29.53,72.27
23,23,23,29.43,75.09
