,Unnamed: 0,Hour,temperature,humidity
0,0,0,29.64,77.71
1,1,1,28.73,79.59
2,2,2,28.64,80.03
3,3,3,28.91,79.26
4,4,4,29.17,79.22
5,5,5,29.21,79.21
6,6,6,29.48,79.32
7,7,7,31.25,78.09
8,8,8,32.51,76.23
9,9,9,33.27,72.83
10,10,10,33.53,71.78
11,11,11,34.77,70.28
12,12,12,35.51,71.05
13,13,13,36.83,68.0
14,14,14,36.99,65.03
15,15,15,36.83,62.17
16,16,16,34.66,63.73
17,17,17,34.35,66.03
18,18,18,33.52,67.82
19,19,19,33.12,70.3
20,20,20,31.2,72.71
21,21,21,30.94,73.71
22,22,22,29.78,75.52
23,23,23,29.08,76.39
