,Unnamed: 0,Hour,temperature,humidity
0,0,0,24.89,82.47
1,1,1,24.83,84.48
2,2,2,24.77,83.68
3,3,3,24.83,83.86
4,4,4,25.04,83.31
5,5,5,25.82,83.86
6,6,6,25.87,83.69
7,7,7,26.32,84.27
8,8,8,26.19,80.71
9,9,9,25.92,81.99
10,10,10,26.17,82.5
11,11,11,27.36,75.99
12,12,12,27.65,76.43
13,13,13,27.3,76.07
14,14,14,27.0,76.71
15,15,15,27.36,74.04
16,16,16,27.64,72.5
17,17,17,27.44,74.01
18,18,18,27.62,73.5
19,19,19,27.5,76.99
20,20,20,26.79,77.71
21,21,21,25.99,79.26
22,22,22,25.68,80.91
23,23,23,25.63,85.89
