,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.78,83.73
1,1,1,25.93,85.63
2,2,2,25.8,85.68
3,3,3,25.8,86.48
4,4,4,25.96,86.41
5,5,5,26.87,85.85
6,6,6,26.88,84.02
7,7,7,28.09,80.68
8,8,8,29.13,76.84
9,9,9,30.04,72.99
10,10,10,31.38,69.63
11,11,11,31.96,66.44
12,12,12,32.16,65.95
13,13,13,32.23,66.66
14,14,14,32.54,68.21
15,15,15,32.61,66.67
16,16,16,30.91,65.47
17,17,17,30.14,68.34
18,18,18,29.36,71.04
19,19,19,29.18,73.41
20,20,20,27.92,76.29
21,21,21,27.7,80.36
22,22,22,27.67,86.43
23,23,23,27.57,89.45
