,Unnamed: 0,Hour,temperature,humidity
0,0,0,24.88,82.56
1,1,1,24.8,82.55
2,2,2,24.7,82.63
3,3,3,24.75,82.26
4,4,4,24.92,81.5
5,5,5,25.74,80.65
6,6,6,25.97,79.43
7,7,7,26.35,78.89
8,8,8,26.24,77.74
9,9,9,25.94,77.8
10,10,10,25.53,78.69
11,11,11,25.55,78.38
12,12,12,26.17,78.87
13,13,13,26.54,79.17
14,14,14,26.37,77.46
15,15,15,26.04,77.5
16,16,16,26.21,75.53
17,17,17,26.33,75.82
18,18,18,25.88,77.75
19,19,19,25.7,78.0
20,20,20,25.24,80.85
21,21,21,24.84,82.08
22,22,22,24.67,82.63
23,23,23,24.56,82.41
