,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.77,83.54
1,1,1,26.79,82.62
2,2,2,26.74,84.28
3,3,3,26.82,84.13
4,4,4,27.06,83.38
5,5,5,26.8,82.63
6,6,6,27.5,83.32
7,7,7,28.08,84.68
8,8,8,28.87,84.69
9,9,9,29.96,82.02
10,10,10,30.39,81.02
11,11,11,32.63,80.21
12,12,12,31.5,81.66
13,13,13,31.96,79.46
14,14,14,31.79,79.42
15,15,15,30.62,81.59
16,16,16,29.95,82.43
17,17,17,30.62,80.83
18,18,18,30.11,84.21
19,19,19,28.19,84.95
20,20,20,27.98,84.23
21,21,21,27.74,83.64
22,22,22,27.64,85.5
23,23,23,26.75,85.94
