,Unnamed: 0,Hour,temperature,humidity
0,0,0,26.8,78.72
1,1,1,26.76,80.7
2,2,2,26.67,80.72
3,3,3,26.84,79.3
4,4,4,26.91,78.02
5,5,5,27.76,77.78
6,6,6,27.7,76.54
7,7,7,28.26,75.88
8,8,8,28.87,72.92
9,9,9,29.71,71.28
10,10,10,30.48,69.75
11,11,11,30.05,69.36
12,12,12,30.14,70.56
13,13,13,29.95,70.08
14,14,14,29.74,69.71
15,15,15,29.89,67.66
16,16,16,29.31,68.7
17,17,17,29.18,70.39
18,18,18,28.19,72.04
19,19,19,28.35,72.81
20,20,20,27.4,73.91
21,21,21,27.41,75.64
22,22,22,27.71,76.59
23,23,23,27.69,76.53
